series,method,home,count,refr,rep,has_pressure,f1,timing_err_min,recall,delay_oracle,delay_obs,cost_min
pir_only,local,pir_only_0,1,5,0,True,0.0868206673362348,0.85,0.3958333333333333,6.853333333333333,120.0,113.14666666666666
pir_only,local,pir_only_1,1,5,0,True,0.05555928336576528,0.13333333333333333,0.6041666666666666,5.566666666666666,6.433333333333334,0.8666666666666667
pir_only,local,pir_only_2,1,5,0,True,0.05920840931030784,1.1166666666666667,0.375,6.446666666666665,120.0,113.55333333333334
pir_only,local,pir_only_3,1,5,0,True,0.0909945920526687,1.2416666666666667,0.2916666666666667,7.459999999999998,120.0,112.54
pir_only,local,pir_only_4,1,5,30,True,0.14666321779617175,1.2416666666666667,0.125,7.79,120.0,112.21
pir_only,local,pir_only_5,1,5,30,True,0.05821735897163497,1.4,0.3541666666666667,4.449999999999998,120.0,115.55
pir_only,local,pir_only_6,1,5,30,True,0.08584826259468559,0.9666666666666667,0.22916666666666666,8.839999999999998,120.0,111.16
pir_only,local,pir_only_7,1,5,30,True,0.0600549799111863,1.7833333333333334,0.5416666666666666,4.503333333333332,6.494999999999999,1.9916666666666667
pir_only,local,pir_only_8,1,5,60,True,0.08008681497558329,1.4333333333333333,0.4375,5.65,120.0,114.35
pir_only,local,pir_only_9,1,5,60,True,0.060925913554679675,0.8666666666666667,0.5625,5.169999999999998,6.828333333333331,1.6583333333333332
pir_only,local,pir_only_10,1,5,60,True,0.07008268944015182,0.49166666666666664,0.625,5.3133333333333335,6.321666666666667,1.0083333333333333
pir_only,local,pir_only_11,1,5,60,True,0.10736090312176017,1.3666666666666667,0.2708333333333333,9.136666666666667,120.0,110.86333333333333
pir_only,local,pir_only_12,1,30,30,True,0.13175675675675674,1.35,0.14583333333333334,12.399999999999999,120.0,107.6
pir_only,local,pir_only_13,1,30,30,True,0.05464720728629431,0.95,0.375,7.293333333333333,120.0,112.70666666666666
pir_only,local,pir_only_14,1,30,30,True,0.17268862911795962,0.5,0.14583333333333334,12.989999999999995,120.0,107.01
pir_only,local,pir_only_15,1,30,30,True,0.18702910326488403,1.125,0.25,6.253333333333332,120.0,113.74666666666667
pir_only,local,pir_only_16,2,5,0,True,0.06857926620185163,0.6333333333333333,0.22916666666666666,5.803333333333333,120.0,114.19666666666667
pir_only,local,pir_only_17,2,5,0,True,0.06029814827194332,0.13333333333333333,0.7291666666666666,6.119999999999999,6.536666666666666,0.41666666666666663
pir_only,local,pir_only_18,2,5,0,True,0.13708124759337698,0.9166666666666666,0.14583333333333334,8.256666666666664,120.0,111.74333333333334
pir_only,local,pir_only_19,2,5,0,True,0.11318423328802668,0.9333333333333333,0.2708333333333333,6.966666666666662,120.0,113.03333333333333
pir_only,local,pir_only_20,2,5,60,True,0.0920562432399952,0.8666666666666667,0.3333333333333333,7.046666666666665,120.0,112.95333333333333
